phi,seed,Theta_NM,Theta_sum,Theta_shape,B_rms,S_pred,du_rms,du_max,U_overlap,max_overlap,valid_torus,degree_radius_corr,regime
9.20000000000000040e-01,6,9.05723353808059461e-02,6.23703098603815079e-02,9.18775494558455169e-02,4.65478572958235137e-01,7.80825214667722207e+01,1.25323902396991621e-01,4.04818446909344154e-01,1.52539559645711864e+00,1.82009718910283613e-01,1,8.57588030960731329e-01,high_sum_high_shape
8.19999999999999951e-01,7,1.46682804968740310e-01,8.55147940495683129e-02,1.41535095769923430e-01,6.10816019659701559e-01,1.42857525057963699e+02,1.66499799359206530e-01,5.95100379473110563e-01,6.44080590919674163e-13,1.61571838575014226e-07,1,7.80429107477429440e-01,high_sum_high_shape
8.29999999999999960e-01,7,1.28507669189690726e-01,7.50976326738790889e-02,1.24517386920591930e-01,5.50441697739389224e-01,1.86045134848638725e+02,1.52348629564673210e-01,7.87205467473423237e-01,3.75682649602920071e-13,1.42581490614190898e-07,1,8.10020323310473134e-01,high_sum_high_shape
8.39999999999999969e-01,7,1.21643503515076926e-01,8.28023260002665046e-02,1.16944136186626621e-01,5.97850326116320274e-01,1.69897652996767988e+02,1.61929207255655849e-01,7.10752880160445799e-01,1.68271827447638643e-03,8.89260031140759466e-03,1,7.93635609602951653e-01,high_sum_high_shape
8.49999999999999978e-01,7,1.17939338476536315e-01,7.54234236379585227e-02,1.19030930377218735e-01,5.46058442529935406e-01,1.41628158133727283e+02,1.50270001791904473e-01,6.36060635617824555e-01,3.75026347967617676e-02,3.47436652526549317e-02,1,7.99336139931456136e-01,high_sum_high_shape
8.59999999999999987e-01,7,1.17156761301302481e-01,7.35558655779514764e-02,1.17101702947053909e-01,5.31510340190242792e-01,1.11164227340810911e+02,1.49207897573381071e-01,5.05937761329088631e-01,1.05507968139779335e-01,5.89481979489234753e-02,1,8.22941157308278104e-01,high_sum_high_shape
8.69999999999999996e-01,7,1.09078169513411941e-01,7.09188339114932426e-02,1.10667028551225288e-01,5.03628934578954190e-01,1.10814352726098974e+02,1.35746757105699917e-01,5.45064680757024078e-01,1.93659055364459209e-01,7.25682258184296991e-02,1,8.24149841704966746e-01,high_sum_high_shape
8.80000000000000004e-01,7,1.01427142829467562e-01,6.82514203004952469e-02,1.03586606756514363e-01,4.88824367161209250e-01,1.25395940823090399e+02,1.38823132187595233e-01,6.00555729026484797e-01,2.69767466774891329e-01,7.63707492613185934e-02,1,8.37304631644840924e-01,high_sum_high_shape
8.90000000000000013e-01,7,9.97224968807534085e-02,6.71219653849629699e-02,9.98605645996212404e-02,4.74237327599946301e-01,7.51131669857463891e+01,1.31178397663830881e-01,3.63771747140604340e-01,5.50029949736874912e-01,1.07681223317563468e-01,1,8.40407731326124674e-01,high_sum_high_shape
9.00000000000000022e-01,7,8.44863456407738272e-02,5.74453862012684474e-02,8.51018690152571394e-02,4.07698606890804838e-01,5.66956913431436433e+01,1.08383341219176907e-01,3.18783721287875133e-01,6.69803515120974691e-01,1.15879706644782310e-01,1,8.52922870962064650e-01,high_sum_high_shape
9.10000000000000031e-01,7,9.38715863425126917e-02,6.78296056972852446e-02,9.22171644584475619e-02,4.83427347952481878e-01,7.65932182316520738e+01,1.27228730656067601e-01,3.89170470385117373e-01,1.19090146549127485e+00,1.77947396873262331e-01,1,8.32365245565869549e-01,high_sum_high_shape
9.20000000000000040e-01,7,8.97818307865507204e-02,6.12525781370036881e-02,8.74833218223004666e-02,4.42696176684811371e-01,7.45621550113674516e+01,1.22376414218791599e-01,3.92425684435869837e-01,1.65758400386635207e+00,1.98147293830383209e-01,1,8.53967769119444386e-01,high_sum_high_shape
8.19999999999999951e-01,8,1.41591653638561299e-01,8.07881716083580226e-02,1.35144541973883536e-01,5.97266052705119121e-01,1.26099347567813268e+02,1.61008547060605495e-01,5.38322792359553937e-01,1.82560450106113266e-13,1.04411245871460778e-07,1,7.91825197489212096e-01,high_sum_high_shape
8.29999999999999960e-01,8,1.29855081811437539e-01,8.22516283570754181e-02,1.19850936673819131e-01,5.88088370858663279e-01,1.09468206404059075e+02,1.57277769112514371e-01,4.68844962370050355e-01,6.76113637923941185e-13,1.50384308339468475e-07,1,7.93290906532728157e-01,high_sum_high_shape
8.39999999999999969e-01,8,1.18657000104353719e-01,7.24445961487329426e-02,1.13892916265954644e-01,5.46010874569495264e-01,9.71155227585720127e+01,1.44299619349972541e-01,4.49571056003747693e-01,1.11851419919656114e-10,1.99309134973901791e-06,1,8.12754741581387830e-01,high_sum_high_shape
8.49999999999999978e-01,8,1.12748446239551270e-01,7.16779178218385771e-02,1.11482819604160580e-01,5.18774014248198356e-01,1.02430149076024094e+02,1.39496314493460810e-01,4.93604093239618902e-01,1.12285622432793004e-02,1.95215801015238277e-02,1,8.26302470698819014e-01,high_sum_high_shape
8.59999999999999987e-01,8,1.10731045100143297e-01,6.87741337271551983e-02,1.10843062341581519e-01,4.99168658899271867e-01,1.05303905941226887e+02,1.39784842314768593e-01,5.07284207105074492e-01,8.09268028593324029e-02,4.57945694501264988e-02,1,8.43590056287236822e-01,high_sum_high_shape
8.69999999999999996e-01,8,1.00478507532200723e-01,6.74453995965672987e-02,1.03690350963768815e-01,4.97078167434616969e-01,8.97549048266283336e+01,1.33477096545330354e-01,4.45974067436124610e-01,1.72111757558006173e-01,6.80648220723800712e-02,1,8.40007082799181015e-01,high_sum_high_shape
8.80000000000000004e-01,8,1.00382344061951512e-01,6.28662273182294673e-02,1.03023321205100049e-01,4.57464432234693741e-01,7.64586571840414564e+01,1.24566171902199499e-01,3.97427191603082153e-01,3.27611324226795619e-01,1.04537860174507280e-01,1,8.46157986216499514e-01,high_sum_high_shape
